chart,type
0.png,vbar_categorical
10.png,dot_line
11.png,hbar_categorical
12.png,line
13.png,line
14.png,pie
15.png,line
16.png,hbar_categorical
17.png,vbar_categorical
18.png,dot_line
19.png,hbar_categorical
1.png,hbar_categorical
20.png,dot_line
21.png,pie
22.png,dot_line
23.png,pie
24.png,vbar_categorical
25.png,hbar_categorical
26.png,hbar_categorical
27.png,dot_line
28.png,pie
29.png,pie
2.png,vbar_categorical
30.png,hbar_categorical
31.png,line
32.png,vbar_categorical
33.png,hbar_categorical
34.png,hbar_categorical
35.png,line
36.png,vbar_categorical
37.png,dot_line
38.png,vbar_categorical
39.png,dot_line
3.png,hbar_categorical
40.png,dot_line
41.png,vbar_categorical
42.png,pie
43.png,hbar_categorical
44.png,pie
45.png,hbar_categorical
46.png,line
47.png,pie
48.png,pie
49.png,line
4.png,line
5.png,line
6.png,vbar_categorical
7.png,vbar_categorical
8.png,line
9.png,line
